Date,Adj Close,Close,High,Low,Open,Volume,RSI,Signal
2023-12-04,20686.80078125,20686.80078125,20702.650390625,20507.75,20601.94921875,381100,,0
2023-12-05,20855.099609375,20855.099609375,20864.05078125,20711.150390625,20808.900390625,421000,,0
2023-12-06,20937.69921875,20937.69921875,20961.94921875,20852.150390625,20950.75,359200,,0
2023-12-07,20901.150390625,20901.150390625,20941.25,20850.80078125,20932.400390625,275000,,0
2023-12-08,20969.400390625,20969.400390625,21006.099609375,20862.69921875,20934.099609375,292400,,0
2023-12-11,20997.099609375,20997.099609375,21026.099609375,20923.69921875,20965.30078125,212900,,0
2023-12-12,20906.400390625,20906.400390625,21037.900390625,20867.150390625,21018.55078125,244900,,0
2023-12-13,20926.349609375,20926.349609375,20950.0,20769.5,20929.75,260300,,0
2023-12-14,21182.69921875,21182.69921875,21210.900390625,21074.44921875,21110.400390625,334400,,0
2023-12-15,21456.650390625,21456.650390625,21492.30078125,21235.30078125,21287.44921875,508800,,0
2023-12-18,21418.650390625,21418.650390625,21482.80078125,21365.349609375,21434.80078125,249700,,0
2023-12-19,21453.099609375,21453.099609375,21505.05078125,21337.75,21477.650390625,249800,,0
2023-12-20,21150.150390625,21150.150390625,21593.0,21087.349609375,21543.5,363900,,0
2023-12-21,21255.05078125,21255.05078125,21288.349609375,20976.80078125,21033.94921875,277500,68.8831975991007,0
2023-12-22,21349.400390625,21349.400390625,21390.5,21232.44921875,21295.849609375,284700,70.71926320868221,1
2023-12-26,21441.349609375,21441.349609375,21477.150390625,21329.44921875,21365.19921875,219500,69.25104605730675,0
2023-12-27,21654.75,21654.75,21675.75,21495.80078125,21497.650390625,256500,71.68353485383267,1
2023-12-28,21778.69921875,21778.69921875,21801.44921875,21678.0,21715.0,393100,75.20466996442327,1
2023-12-29,21731.400390625,21731.400390625,21770.30078125,21676.900390625,21737.650390625,270900,72.15252116204437,1
2024-01-01,21741.900390625,21741.900390625,21834.349609375,21680.849609375,21727.75,154000,71.87122897978848,1
2024-01-02,21665.80078125,21665.80078125,21755.599609375,21555.650390625,21751.349609375,263700,72.49281214386126,1
2024-01-03,21517.349609375,21517.349609375,21677.0,21500.349609375,21661.099609375,311900,66.26667297424572,0
2024-01-04,21658.599609375,21658.599609375,21685.650390625,21564.55078125,21605.80078125,339200,63.98474689697842,0
2024-01-05,21710.80078125,21710.80078125,21749.599609375,21629.19921875,21705.75,309300,58.5876237904732,0
2024-01-08,21513.0,21513.0,21763.94921875,21492.900390625,21747.599609375,231500,52.87730404110316,0
2024-01-09,21544.849609375,21544.849609375,21724.44921875,21517.849609375,21653.599609375,228600,52.80246934202583,0
2024-01-10,21618.69921875,21618.69921875,21641.849609375,21448.650390625,21529.30078125,217000,66.6405852231975,0
2024-01-11,21647.19921875,21647.19921875,21726.5,21593.75,21688.0,212500,64.72637604114408,0
2024-01-12,21894.55078125,21894.55078125,21928.25,21715.150390625,21773.55078125,294700,68.3620182648522,0
2024-01-15,22097.44921875,22097.44921875,22115.55078125,21963.55078125,22053.150390625,345500,70.5622241673757,1
2024-01-16,22032.30078125,22032.30078125,22124.150390625,21969.80078125,22080.5,292400,63.04464599022863,0
2024-01-17,21571.94921875,21571.94921875,21851.5,21550.44921875,21647.25,456000,44.203977756800974,0
2024-01-18,21462.25,21462.25,21539.400390625,21285.55078125,21414.19921875,387300,42.709709912001244,0
2024-01-19,21622.400390625,21622.400390625,21670.599609375,21575.0,21615.19921875,343100,47.00591535290503,0
2024-01-23,21238.80078125,21238.80078125,21750.25,21192.599609375,21716.69921875,449700,40.72989209523842,0
2024-01-24,21453.94921875,21453.94921875,21482.349609375,21137.19921875,21185.25,407500,48.662325470994446,0
2024-01-25,21352.599609375,21352.599609375,21459.0,21247.05078125,21454.599609375,418100,43.43319015380901,0
2024-01-29,21737.599609375,21737.599609375,21763.25,21429.599609375,21433.099609375,376700,50.50322709364989,0
2024-01-30,21522.099609375,21522.099609375,21813.05078125,21501.80078125,21775.75,375100,50.16974371940952,0
2024-01-31,21725.69921875,21725.69921875,21741.349609375,21448.849609375,21487.25,410600,53.17041236075626,0
2024-02-01,21697.44921875,21697.44921875,21832.94921875,21658.75,21780.650390625,332500,51.40296961902695,0
2024-02-02,21853.80078125,21853.80078125,22126.80078125,21805.55078125,21812.75,442800,53.52033929441459,0
2024-02-05,21771.69921875,21771.69921875,21964.30078125,21726.94921875,21921.05078125,440800,47.781780838536214,0
2024-02-06,21929.400390625,21929.400390625,21951.400390625,21737.55078125,21825.19921875,371000,46.91534800880213,0
2024-02-07,21930.5,21930.5,22053.30078125,21860.150390625,22045.05078125,346300,48.086381225814506,0
2024-02-08,21717.94921875,21717.94921875,22011.05078125,21665.30078125,22009.650390625,491100,53.02640656326012,0
2024-02-09,21782.5,21782.5,21804.44921875,21629.900390625,21727.0,349200,56.7650262402218,0
2024-02-12,21616.05078125,21616.05078125,21831.69921875,21574.75,21800.80078125,287400,49.86622555252427,0
2024-02-13,21743.25,21743.25,21766.80078125,21543.349609375,21664.30078125,365800,61.9150824669597,0
2024-02-14,21840.05078125,21840.05078125,21870.849609375,21530.19921875,21578.150390625,359100,59.659765019536096,0
2024-02-15,21910.75,21910.75,21953.849609375,21794.80078125,21906.55078125,345400,64.18170575688731,0
2024-02-16,22040.69921875,22040.69921875,22068.650390625,21968.94921875,22020.30078125,343900,58.84805947853653,0
2024-02-19,22122.25,22122.25,22186.650390625,22021.05078125,22103.44921875,0,69.0058920819968,0
2024-02-20,22196.94921875,22196.94921875,22215.599609375,22045.849609375,22099.19921875,295700,66.25052534025883,0
2024-02-21,22055.05078125,22055.05078125,22249.400390625,21997.94921875,22248.849609375,364500,61.43518819232441,0
2024-02-22,22217.44921875,22217.44921875,22252.5,21875.25,22081.55078125,343500,61.583754323967845,0
2024-02-23,22212.69921875,22212.69921875,22297.5,22186.099609375,22290.0,226000,64.77588030196739,0
2024-02-26,22122.05078125,22122.05078125,22202.150390625,22075.150390625,22169.19921875,207800,56.75850491623557,0
2024-02-27,22198.349609375,22198.349609375,22218.25,22085.650390625,22090.19921875,252200,58.92568212260178,0
2024-02-28,21951.150390625,21951.150390625,22229.150390625,21915.849609375,22214.099609375,203000,57.59567513648792,0
2024-02-29,21982.80078125,21982.80078125,22060.55078125,21860.650390625,21935.19921875,360200,56.666952707112785,0
2024-03-01,22338.75,22338.75,22353.30078125,22047.75,22048.30078125,351500,71.36025566128575,1
2024-03-04,22405.599609375,22405.599609375,22440.900390625,22358.30078125,22403.5,298800,70.30076133167793,1
2024-03-05,22356.30078125,22356.30078125,22416.900390625,22269.150390625,22371.25,296200,66.29741801348088,0
2024-03-06,22474.05078125,22474.05078125,22497.19921875,22224.349609375,22327.5,312300,67.26972896327734,0
2024-03-07,22493.55078125,22493.55078125,22525.650390625,22430.0,22505.30078125,379900,64.89210832586137,0
2024-03-11,22332.650390625,22332.650390625,22526.599609375,22307.25,22517.5,277900,56.57587111597829,0
2024-03-12,22335.69921875,22335.69921875,22452.55078125,22256.0,22334.44921875,299200,54.539830881074835,0
2024-03-13,21997.69921875,21997.69921875,22446.75,21905.650390625,22432.19921875,493300,48.336905252760495,0
2024-03-14,22146.650390625,22146.650390625,22204.599609375,21917.5,21982.55078125,426700,47.930820719078184,0
2024-03-15,22023.349609375,22023.349609375,22120.900390625,21931.69921875,22064.849609375,661500,44.82466301881756,0
2024-03-18,22055.69921875,22055.69921875,22123.69921875,21916.55078125,21990.099609375,356300,48.12677000714619,0
2024-03-19,21817.44921875,21817.44921875,21978.30078125,21793.099609375,21946.44921875,344200,40.14741915438595,0
2024-03-20,21839.099609375,21839.099609375,21930.900390625,21710.19921875,21843.900390625,312400,46.7187668008062,0
2024-03-21,22011.94921875,22011.94921875,22080.94921875,21941.30078125,21989.900390625,353200,50.78837157213673,0
2024-03-22,22096.75,22096.75,22180.69921875,21883.30078125,21932.19921875,388700,42.32963549920761,0
2024-03-26,22004.69921875,22004.69921875,22073.19921875,21947.55078125,21947.900390625,328400,37.4929775537636,0
2024-03-27,22123.650390625,22123.650390625,22193.599609375,22052.849609375,22053.94921875,409100,43.04422215604178,0
2024-03-28,22326.900390625,22326.900390625,22516.0,22163.599609375,22163.599609375,410500,45.81448655086937,0
2024-04-01,22462.0,22462.0,22529.94921875,22427.75,22455.0,0,49.15795114302633,0
2024-04-02,22453.30078125,22453.30078125,22497.599609375,22388.150390625,22458.80078125,289500,53.50472777695195,0
2024-04-03,22434.650390625,22434.650390625,22521.099609375,22346.5,22385.69921875,309600,52.84857562784714,0
2024-04-04,22514.650390625,22514.650390625,22619.0,22303.80078125,22592.099609375,401000,67.47810606030589,0
2024-04-05,22513.69921875,22513.69921875,22537.599609375,22427.599609375,22486.400390625,242200,63.78997852940357,0
2024-04-08,22666.30078125,22666.30078125,22697.30078125,22550.349609375,22578.349609375,227600,73.6352292292206,1
2024-04-09,22642.75,22642.75,22768.400390625,22612.25,22765.099609375,232400,71.72081272564873,1
2024-04-10,22753.80078125,22753.80078125,22775.69921875,22673.69921875,22720.25,276800,88.24477318561254,1
2024-04-12,22519.400390625,22519.400390625,22726.44921875,22503.75,22677.400390625,357200,73.67241360561971,1
2024-04-15,22272.5,22272.5,22427.44921875,22259.55078125,22339.05078125,355500,58.6220446995256,0
2024-04-16,22147.900390625,22147.900390625,22213.75,22079.44921875,22125.30078125,317300,51.64920836235354,0
2024-04-18,21995.849609375,21995.849609375,22326.5,21961.69921875,22212.349609375,456900,49.72529637798636,0
2024-04-19,22147.0,22147.0,22179.55078125,21777.650390625,21861.5,362500,50.710597924614206,0
2024-04-22,22336.400390625,22336.400390625,22375.650390625,22198.150390625,22336.900390625,279300,50.291571054859,0
2024-04-23,22368.0,22368.0,22447.55078125,22349.44921875,22447.05078125,231500,46.91925593066277,0
2024-04-24,22402.400390625,22402.400390625,22476.44921875,22384.0,22421.55078125,235900,48.359434901777604,0
2024-04-25,22570.349609375,22570.349609375,22625.94921875,22305.25,22316.900390625,475000,53.989732517141185,0
2024-04-26,22419.94921875,22419.94921875,22620.400390625,22385.55078125,22620.400390625,329900,47.326345043589505,0
2024-04-29,22643.400390625,22643.400390625,22655.80078125,22441.900390625,22475.55078125,292000,53.25309231635928,0
2024-04-30,22604.849609375,22604.849609375,22783.349609375,22568.400390625,22679.650390625,361900,48.36518646840164,0
2024-05-02,22648.19921875,22648.19921875,22710.5,22567.849609375,22567.849609375,445900,50.143456826179694,0
2024-05-03,22475.849609375,22475.849609375,22794.69921875,22348.05078125,22766.349609375,438100,42.91140791569661,0
2024-05-06,22442.69921875,22442.69921875,22588.80078125,22409.44921875,22561.599609375,320300,47.82012582666029,0
2024-05-07,22302.5,22302.5,22499.05078125,22232.05078125,22489.75,297800,50.907659797762044,0
2024-05-08,22302.5,22302.5,22368.650390625,22185.19921875,22231.19921875,277400,55.058881274949286,0
2024-05-09,21957.5,21957.5,22307.75,21932.400390625,22224.80078125,331300,48.885801933206,0
2024-05-10,22055.19921875,22055.19921875,22131.30078125,21950.30078125,21990.94921875,265800,47.24735288605697,0
2024-05-13,22104.05078125,22104.05078125,22131.650390625,21821.05078125,22027.94921875,278200,42.3917144943905,0
2024-05-14,22217.849609375,22217.849609375,22270.05078125,22081.25,22112.900390625,230200,45.33448236100912,0
2024-05-15,22200.55078125,22200.55078125,22297.55078125,22151.75,22255.599609375,231900,43.66069665046882,0
2024-05-16,22403.849609375,22403.849609375,22432.25,22054.55078125,22319.19921875,368900,44.88447339743743,0
2024-05-17,22466.099609375,22466.099609375,22502.150390625,22345.650390625,22415.25,242700,51.49912129882818,0
2024-05-21,22529.05078125,22529.05078125,22591.099609375,22404.55078125,22404.55078125,347600,45.85313612468286,0
2024-05-22,22597.80078125,22597.80078125,22629.5,22483.150390625,22576.599609375,290300,49.749854792405124,0
2024-05-23,22967.650390625,22967.650390625,22993.599609375,22577.44921875,22614.099609375,369800,59.203713019765935,0
2024-05-24,22957.099609375,22957.099609375,23026.400390625,22908.0,22930.75,261900,65.29089943254877,0
2024-05-27,22932.44921875,22932.44921875,23110.80078125,22871.19921875,23038.94921875,260000,65.6454809098578,0
2024-05-28,22888.150390625,22888.150390625,22998.55078125,22858.5,22977.150390625,217900,69.93027630258356,0
2024-05-29,22704.69921875,22704.69921875,22825.5,22685.44921875,22762.75,269900,62.16794968458323,0
2024-05-30,22488.650390625,22488.650390625,22705.75,22417.0,22617.44921875,373400,67.42907535515197,0
2024-05-31,22530.69921875,22530.69921875,22653.75,22465.099609375,22568.099609375,572100,66.19442677997941,0
2024-06-03,23263.900390625,23263.900390625,23338.69921875,23062.30078125,23337.900390625,569400,76.94257898667306,1
2024-06-04,21884.5,21884.5,23179.5,21281.44921875,23179.5,1006100,45.12368567364993,0
2024-06-05,22620.349609375,22620.349609375,22670.400390625,21791.94921875,22128.349609375,638500,55.07420185378332,0
2024-06-06,22821.400390625,22821.400390625,22910.150390625,22642.599609375,22798.599609375,480400,55.049773524793224,0
2024-06-07,23290.150390625,23290.150390625,23320.19921875,22789.05078125,22821.849609375,473600,59.0737471805433,0
2024-06-10,23259.19921875,23259.19921875,23411.900390625,23227.150390625,23319.150390625,304400,58.09683383206298,0
2024-06-11,23264.849609375,23264.849609375,23389.44921875,23206.650390625,23283.75,305200,57.50209227998111,0
2024-06-12,23322.94921875,23322.94921875,23441.94921875,23295.94921875,23344.44921875,295600,54.297274555669006,0
2024-06-13,23398.900390625,23398.900390625,23481.05078125,23353.900390625,23480.94921875,268300,55.26028164350024,0
2024-06-14,23465.599609375,23465.599609375,23490.400390625,23334.25,23464.94921875,223100,56.28499974443078,0
2024-06-18,23557.900390625,23557.900390625,23579.05078125,23499.69921875,23570.80078125,272200,57.80693925871961,0
2024-06-19,23516.0,23516.0,23664.0,23412.900390625,23629.849609375,328800,59.77965142395959,0
2024-06-20,23567.0,23567.0,23624.0,23442.599609375,23586.150390625,280300,63.53739982081393,0
2024-06-21,23501.099609375,23501.099609375,23667.099609375,23398.19921875,23661.150390625,609900,62.10970575202797,0
2024-06-24,23537.849609375,23537.849609375,23558.099609375,23350.0,23382.30078125,239400,54.13788830869988,0
2024-06-25,23721.30078125,23721.30078125,23754.150390625,23562.05078125,23577.099609375,298100,93.4374665134445,1
2024-06-26,23868.80078125,23868.80078125,23889.900390625,23670.44921875,23723.099609375,287800,90.90720591228086,1
2024-06-27,24044.5,24044.5,24087.44921875,23805.400390625,23881.55078125,515200,90.75359002692927,1
2024-06-28,24010.599609375,24010.599609375,24174.0,23985.80078125,24085.900390625,354800,83.79998020767283,1
2024-07-01,24141.94921875,24141.94921875,24164.0,23992.69921875,23992.94921875,0,87.84882844557589,1
2024-07-02,24123.849609375,24123.849609375,24236.349609375,24056.400390625,24228.75,0,86.44149249971828,1
2024-07-03,24286.5,24286.5,24309.150390625,24207.099609375,24291.75,0,87.54623470639629,1
2024-07-04,24302.150390625,24302.150390625,24401.0,24281.0,24369.94921875,251200,86.93211946973327,1
2024-07-05,24323.849609375,24323.849609375,24363.0,24168.849609375,24213.349609375,298400,86.43285908533147,1
2024-07-08,24320.55078125,24320.55078125,24344.599609375,24240.55078125,24329.44921875,266300,85.02092410460438,1
2024-07-09,24433.19921875,24433.19921875,24443.599609375,24331.900390625,24351.0,250500,89.54816628881919,1
2024-07-10,24324.44921875,24324.44921875,24461.05078125,24141.80078125,24459.849609375,292300,81.1106369187623,1
2024-07-11,24315.94921875,24315.94921875,24402.650390625,24193.75,24396.55078125,306400,85.12442477011852,1
2024-07-12,24502.150390625,24502.150390625,24592.19921875,24331.150390625,24387.94921875,325800,86.82228241737916,1
2024-07-15,24586.69921875,24586.69921875,24635.05078125,24522.75,24587.599609375,305400,85.74561049672946,1
2024-07-16,24613.0,24613.0,24661.25,24587.650390625,24615.900390625,283200,84.15961414329772,1
2024-07-18,24800.849609375,24800.849609375,24837.75,24504.44921875,24543.80078125,350900,84.33435412569754,1
2024-07-19,24530.900390625,24530.900390625,24854.80078125,24508.150390625,24853.80078125,343800,69.4505533018496,0
2024-07-22,24509.25,24509.25,24595.19921875,24362.30078125,24445.75,324200,64.95771771083878,0
2024-07-23,24479.05078125,24479.05078125,24582.55078125,24074.19921875,24568.900390625,436400,64.32382365589365,0
2024-07-24,24413.5,24413.5,24504.25,24307.25,24444.94921875,366600,55.55654302082337,0
2024-07-25,24406.099609375,24406.099609375,24426.150390625,24210.80078125,24230.94921875,391800,54.581089642065244,0
2024-07-26,24834.849609375,24834.849609375,24861.150390625,24410.900390625,24423.349609375,383800,66.57371487068255,0
2024-07-29,24836.099609375,24836.099609375,24999.75,24774.599609375,24943.30078125,355000,66.74350363907851,0
2024-07-30,24857.30078125,24857.30078125,24971.75,24798.650390625,24839.400390625,385000,64.64336388698565,0
2024-07-31,24951.150390625,24951.150390625,24984.599609375,24856.5,24886.69921875,333600,71.86368474200701,1
2024-08-01,25010.900390625,25010.900390625,25078.30078125,24956.400390625,25030.94921875,431300,73.40768039534814,1
2024-08-02,24717.69921875,24717.69921875,24851.900390625,24686.849609375,24789.0,345000,56.77208424406283,0
2024-08-05,24055.599609375,24055.599609375,24350.05078125,23893.69921875,24302.849609375,487000,37.757050918976454,0
2024-08-06,23992.55078125,23992.55078125,24382.599609375,23960.400390625,24189.849609375,312300,35.93564051343081,0
2024-08-07,24297.5,24297.5,24337.69921875,24184.900390625,24289.400390625,317600,39.16525617191304,0
2024-08-08,24117.0,24117.0,24340.5,24079.69921875,24248.55078125,311900,40.733851566373794,0
2024-08-09,24367.5,24367.5,24419.75,24311.19921875,24386.849609375,215100,47.12153518123667,0
2024-08-12,24347.0,24347.0,24472.80078125,24212.099609375,24320.05078125,279900,47.307888948527754,0
2024-08-13,24139.0,24139.0,24359.94921875,24116.5,24342.349609375,239700,44.71098265895953,0
2024-08-14,24143.75,24143.75,24196.5,24099.69921875,24184.400390625,303300,44.939926149886645,0
2024-08-16,24541.150390625,24541.150390625,24563.900390625,24204.5,24334.849609375,271600,44.26592700605232,0
2024-08-19,24572.650390625,24572.650390625,24638.80078125,24522.94921875,24636.349609375,243600,44.91656114327063,0
2024-08-20,24698.849609375,24698.849609375,24734.30078125,24607.19921875,24648.900390625,238300,47.06163585248309,0
2024-08-21,24770.19921875,24770.19921875,24787.94921875,24654.5,24680.55078125,257100,46.61615139679128,0
2024-08-22,24811.5,24811.5,24867.349609375,24784.44921875,24863.400390625,220300,46.245236345662015,0
2024-08-23,24823.150390625,24823.150390625,24858.400390625,24771.650390625,24845.400390625,206800,52.22119554798213,0
2024-08-26,25010.599609375,25010.599609375,25043.80078125,24874.69921875,24906.099609375,210300,75.14352005166927,1
2024-08-27,25017.75,25017.75,25073.099609375,24973.650390625,25024.80078125,223300,77.8103204558989,1
2024-08-28,25052.349609375,25052.349609375,25129.599609375,24964.650390625,25030.80078125,220400,73.99624238947273,1
2024-08-29,25151.94921875,25151.94921875,25192.900390625,24998.5,25035.30078125,354000,84.68446532037838,1
2024-08-30,25235.900390625,25235.900390625,25268.349609375,25199.400390625,25249.69921875,638200,82.75992661415698,1
2024-09-02,25278.69921875,25278.69921875,25333.650390625,25235.5,25333.599609375,222800,84.56628919077943,1
2024-09-03,25279.849609375,25279.849609375,25321.69921875,25235.80078125,25313.400390625,212100,100.0,1
2024-09-04,25198.69921875,25198.69921875,25216.0,25083.80078125,25089.94921875,253800,93.33330124255494,1
2024-09-05,25145.099609375,25145.099609375,25275.44921875,25127.75,25250.5,222200,84.57265779081676,1
2024-09-06,24852.150390625,24852.150390625,25168.75,24801.30078125,25093.69921875,311700,62.31387720542174,0
2024-09-09,24936.400390625,24936.400390625,24957.5,24753.150390625,24823.400390625,254400,60.867420790221416,0
2024-09-10,25041.099609375,25041.099609375,25130.5,24896.80078125,24999.400390625,251300,62.02613302350584,0
2024-09-11,24918.44921875,24918.44921875,25113.69921875,24885.150390625,25034.0,279200,54.42799474702255,0
2024-09-12,25388.900390625,25388.900390625,25433.349609375,24941.44921875,25059.650390625,380100,66.97471466980457,0
2024-09-13,25356.5,25356.5,25430.5,25292.44921875,25430.44921875,250800,61.443042914722355,0
2024-09-16,25383.75,25383.75,25445.69921875,25336.19921875,25406.650390625,168700,61.94906953966699,0
2024-09-17,25418.55078125,25418.55078125,25441.650390625,25352.25,25416.900390625,216000,61.95406710522793,0
2024-09-18,25377.55078125,25377.55078125,25482.19921875,25285.55078125,25402.400390625,215700,57.65736620756588,0
2024-09-19,25415.80078125,25415.80078125,25611.94921875,25376.05078125,25487.05078125,314500,56.301679325806724,0
2024-09-20,25790.94921875,25790.94921875,25849.25,25426.599609375,25525.94921875,533100,64.55462423639722,0
2024-09-23,25939.05078125,25939.05078125,25956.0,25847.349609375,25872.55078125,209200,67.28643118278359,0
2024-09-24,25940.400390625,25940.400390625,26011.55078125,25886.849609375,25921.44921875,384100,70.29944204076875,1
2024-09-25,26004.150390625,26004.150390625,26032.80078125,25871.349609375,25899.44921875,278500,73.38124754138448,1
2024-09-26,26216.05078125,26216.05078125,26250.900390625,25998.400390625,26005.400390625,370900,88.835389339909,1
2024-09-27,26178.94921875,26178.94921875,26277.349609375,26151.400390625,26248.25,490300,86.35621241855091,1
2024-09-30,25810.849609375,25810.849609375,26134.69921875,25794.099609375,26061.30078125,343100,69.51447522960129,0
2024-10-01,25796.900390625,25796.900390625,25907.599609375,25739.19921875,25788.44921875,247400,73.56925982482636,1
2024-10-03,25250.099609375,25250.099609375,25639.44921875,25230.30078125,25452.849609375,423400,46.422480190892344,0
2024-10-04,25014.599609375,25014.599609375,25485.05078125,24966.80078125,25181.900390625,374900,42.02286329869115,0
2024-10-07,24795.75,24795.75,25143.0,24694.349609375,25084.099609375,374300,37.406844717212856,0
2024-10-08,25013.150390625,25013.150390625,25044.0,24756.80078125,24832.19921875,333200,41.947397864847105,0
2024-10-09,24981.94921875,24981.94921875,25234.05078125,24947.69921875,25065.80078125,290600,42.11132661883953,0
2024-10-10,24998.44921875,24998.44921875,25134.05078125,24979.400390625,25067.05078125,261400,41.60478810422943,0
2024-10-11,24964.25,24964.25,25028.650390625,24920.05078125,24985.30078125,210500,30.726954488164893,0
2024-10-14,25127.94921875,25127.94921875,25159.75,25017.5,25023.44921875,206400,31.227115003155305,0
2024-10-15,25057.349609375,25057.349609375,25212.05078125,25008.150390625,25186.30078125,257200,30.19666587825111,0
2024-10-16,24971.30078125,24971.30078125,25093.400390625,24908.44921875,25008.55078125,226800,27.066638796059152,-1
2024-10-17,24749.849609375,24749.849609375,25029.5,24728.900390625,25027.400390625,252800,17.582008521061255,-1
2024-10-18,24854.05078125,24854.05078125,24886.19921875,24567.650390625,24664.94921875,290900,21.550387856989474,-1
2024-10-21,24781.099609375,24781.099609375,24978.30078125,24679.599609375,24956.150390625,242000,24.678505699872048,-1
2024-10-22,24472.099609375,24472.099609375,24882.0,24445.80078125,24798.650390625,279500,21.551291708538074,-1
2024-10-23,24435.5,24435.5,24604.25,24378.099609375,24378.150390625,284600,27.59874919300175,-1
2024-10-24,24399.400390625,24399.400390625,24480.650390625,24341.19921875,24412.69921875,216700,30.998303624644976,0
2024-10-25,24180.80078125,24180.80078125,24440.25,24073.900390625,24418.05078125,372600,31.003091596697473,0
2024-10-28,24339.150390625,24339.150390625,24492.599609375,24134.900390625,24251.099609375,278600,28.390509778775254,-1
2024-10-29,24466.849609375,24466.849609375,24484.5,24140.849609375,24328.849609375,332000,34.44745721931757,0
2024-10-30,24340.849609375,24340.849609375,24498.19921875,24307.30078125,24371.44921875,285200,31.376371088629156,0
2024-10-31,24205.349609375,24205.349609375,24372.44921875,24172.599609375,24349.849609375,287000,29.673750079776013,-1
2024-11-01,24304.349609375,24304.349609375,24368.25,24280.19921875,24302.75,38800,27.14888774487224,-1
2024-11-04,23995.349609375,23995.349609375,24316.75,23816.150390625,24315.75,285500,23.97696642979662,-1
2024-11-05,24213.30078125,24213.30078125,24229.05078125,23842.75,23916.5,289500,32.55387630701179,0
2024-11-06,24484.05078125,24484.05078125,24537.599609375,24204.05078125,24308.75,351100,44.018123780781025,0
2024-11-07,24199.349609375,24199.349609375,24503.349609375,24179.05078125,24489.599609375,322200,36.372890423577985,0
2024-11-08,24148.19921875,24148.19921875,24276.150390625,24066.650390625,24207.69921875,298700,36.70600977218742,0
2024-11-11,24141.30078125,24141.30078125,24336.80078125,24004.599609375,24087.25,273400,42.04159614468339,0
2024-11-12,23883.44921875,23883.44921875,24242.0,23839.150390625,24225.80078125,255800,37.99655163627407,0
2024-11-13,23559.05078125,23559.05078125,23873.599609375,23509.599609375,23822.44921875,304600,33.76355398840283,0
2024-11-14,23532.69921875,23532.69921875,23675.900390625,23484.150390625,23542.150390625,257700,36.473093592749734,0
2024-11-18,23453.80078125,23453.80078125,23606.80078125,23350.400390625,23605.30078125,263300,30.887475766716236,0
2024-11-19,23518.5,23518.5,23780.650390625,23464.80078125,23529.55078125,297500,28.955030846566387,-1
2024-11-21,23349.900390625,23349.900390625,23507.30078125,23263.150390625,23488.44921875,420300,28.417745426331265,-1
2024-11-22,23907.25,23907.25,23956.099609375,23359.0,23411.80078125,367600,44.51538761731796,0
2024-11-25,24221.900390625,24221.900390625,24351.55078125,24135.44921875,24253.55078125,687200,48.59457566266087,0
2024-11-26,24194.5,24194.5,24343.30078125,24125.400390625,24343.30078125,230700,53.75521583329957,0
2024-11-27,24274.900390625,24274.900390625,24354.55078125,24145.650390625,24204.80078125,295000,51.225082911299474,0
2024-11-28,23914.150390625,23914.150390625,24345.75,23873.349609375,24274.150390625,366700,39.057630733991395,0
2024-11-29,24131.099609375,24131.099609375,24188.44921875,23927.150390625,23927.150390625,282100,48.65456141566752,0
